1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,qnage,qnage2,qnrsex,qnstate,qnmarita,qndhh1,qnkids,qnkidsag,qnkidsad,qnemptyn,qn50a,qn50b,qn50c,qn50d,qn50e,qn50f,qn50g,qn50h,qnhealth,qnmhealt,qndebili,qnmcondi,qnemploy,qnpartyu,qneducus,qnreligo,qnhispan,qnraceus,qnrace_1,qnnativi,qnincome,qnl1,qnc1,qnusr,int1,recage,recage2,recage3,gender,rechealt,rechea_1,recemplo,receduc,receduc2,receduc3,racethn,racethn2,recincom,q5_any_o,q50_yes_,hphoneus,cstate,final_ms,cregion,density,division,urban,usr,endlang,intdate,wt1,weight
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,No, ,Yes,About once a week,No, ,"Rarely, or",Never,"Rarely, or","Rarely, or",Not Lonely,6,Somewhat satisfied,Very satisfied,Very satisfied,A few times a year,A few times a month,A few times a month,A few times a month,A few times a year,A few times a week,Some,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Minor reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,54, ,Male,MASSACHUSETTS,Married,2,1,6, , ,No,No,No,No,No,Yes,No,No,Excellent,Excellent,No,No,Employed full-time,Democrat,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Seldom,No,White, , ,"$100,000 or more",Yes respondent or someone else has cell phone in household, ,Urban, ,18-64,50-64,45-54,MALE,Excellent/Very Good,Excellent/Very Good/Good,Employed,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",$90K+,Yes to any,Yes to any,Dual HH,Massachusetts,Suburban (Metro),Northeast,4,New England,3,Suburban,EN,20180418,0.7055,0.8351
Somewhat happy,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,A lot,No, ,Yes,Once or twice a month,Yes,Once or twice a month,Never,Never,Never,Never,Not Lonely,10,Very satisfied,Very satisfied,Very satisfied,A few times a month,A few times a week,Never (Vol.),A few times a week,A few times a week,Never (Vol.),A lot,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Major reason,Major reason,No,No, , , , , , , ,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,68, ,Male,IOWA,Married,2,0, ,Yes,No,No,No,No,No,No,Yes,No,No,Good,Very good,No,No,Employed full-time,Democrat,High school incomplete (Grades 9-11 or Grade 12 with no diploma),Seldom,No,White, , ,"$50,000 to less than $75,000",Yes respondent or someone else has cell phone in household, ,Suburban, ,65+,65-79,65-79,MALE,Good,Excellent/Very Good/Good,Employed,Less than high school,High school or less,Less than college,"White, non-Hispanic","White, non-Hispanic",$40K-$89.9K,Yes to any,Yes to any,Dual HH,Iowa,Suburban (Metro),North Central,2,West North Central,3,Suburban,EN,20180418,0.7055,0.6942
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,No, ,No, ,No, ,Never,Never,Never,Sometimes,Not Lonely,8,Somewhat satisfied,Very satisfied,Somewhat dissatisfied,Every day,Never (Vol.),Every day,A few times a month,Never (Vol.),Every day,A lot,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Minor reason,Major reason,Major reason,Yes,Yes,Every day,Less than half an hour,Looking at what other people are doing,Weakened,Not sure,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,74, ,Male,CONNECTICUT,Married,2,0, ,No, ,No,No,Yes,No,No,Yes,Yes,No,Excellent,Excellent,Yes,No,Retired,Democrat,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Never,No,White, , ,"$75,000 to less than $90,000",Yes respondent or someone else has cell phone in household, ,Suburban, ,65+,65-79,65-79,MALE,Excellent/Very Good,Excellent/Very Good/Good,Retired,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",$40K-$89.9K,No to all,Yes to any,Dual HH,Connecticut,Urban- Center City County (Metro),Northeast,4,New England,3,Suburban,EN,20180418,0.7055,0.4724
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,About once a week,Yes,Once or twice a month,Never,Never,Never,Never,Not Lonely,10,Very satisfied,Very satisfied,Very satisfied,Every day,A few times a week,Every day,A few times a week,A few times a week,A few times a week,Only a little,More of a public health problem,No role at all,Major role,Major role,Major role,Both equally/It depends (Vol.),Not a reason,Not a reason,Minor reason,Minor reason,Minor reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,75, ,Female,MINNESOTA,"Widowed, or",1,0, ,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Very good,Very good,Yes,No,Retired,Or what?,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Once a week,No,White, , ,"$30,000 to less than $40,000",No, ,Rural, ,65+,65-79,65-79,FEMALE,Excellent/Very Good,Excellent/Very Good/Good,Retired,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",Less than $40K,Yes to any,Yes to any,LLO HH,Minnesota,Suburban (Metro),North Central,Lowest,West North Central,3,Suburban,EN,20180418,0.7387,0.4794
Somewhat happy,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,Yes,Once or twice a month,Never,Never,Never,Never,Not Lonely,5,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A few times a year,A few times a week,A few times a week,A few times a month,A few times a month,A few times a month,Some,More of an individual problem,No role at all,Minor role,Minor role,Minor role,Mostly have themselves to blame,Minor reason,Minor reason,Minor reason,Major reason,Minor reason,Yes,No, , , , , ,More satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,62, ,Female,MINNESOTA,Married,2,0, ,Yes,No,No,No,No,No,No,Yes,No,Yes,Very good,Very good,No,No,Retired,Republican,High school graduate (Grade 12 with diploma or GED certificate),Once or twice a month,No,White, , ,"$100,000 or more",Yes respondent or someone else has cell phone in household, ,Rural, ,18-64,50-64,55-64,FEMALE,Excellent/Very Good,Excellent/Very Good/Good,Retired,High school graduate,High school or less,Less than college,"White, non-Hispanic","White, non-Hispanic",$90K+,Yes to any,Yes to any,Dual HH,Minnesota,Rural- Non-Metro,North Central,Lowest,West North Central,4,Suburban,EN,20180418,0.7055,1.0167
Very happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,No one,No, ,Yes,Several times a week,Yes,Once or twice a month,Never,Never,"Rarely, or",Never,Not Lonely,4,Somewhat satisfied,Somewhat satisfied,Very satisfied,Every day,A few times a week,A few times a week,A few times a month,A few times a week,A few times a week,Some,Not sure,No role at all,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,A few times a week,Less than half an hour,An equal mix of both,Not sure,Worse,Equally satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34, ,Female,NEW MEXICO,Married,2,2,6, , ,No,No,No,No,No,No,Yes,Yes,Good,Excellent,Yes,No,"Or, a homemaker or stay at home parent?",Independent,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",More than once a week,No,White, , ,"$50,000 to less than $75,000",Yes respondent or someone else has cell phone in household, ,Urban, ,18-64,30-49,25-34,FEMALE,Good,Excellent/Very Good/Good,A homemaker or stay at home parent,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",$40K-$89.9K,Yes to any,Yes to any,Dual HH,New Mexico,Urban- Center City (Metro),West,3,Mountain,2,Urban,EN,20180418,0.7055,2.3489
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,About once a week,Yes,About once a week,"Rarely, or",Never,Never,Never,Not Lonely,5,Very satisfied,Very satisfied,Very satisfied,Every day,A few times a week,A few times a week,Every day,Every day,Every day,Only a little,More of an individual problem,No role at all,Major role,Major role,No role at all,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Minor reason,Major reason,Major reason,Yes,No, , , , , ,Equally satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50, ,Male,WASHINGTON,Married,2,0, ,Yes,Yes,No,No,No,No,No,Yes,No,No,Good,Good,No,No,Employed full-time,Independent,Two-year associate degree from a college or university,Once or twice a month,No,White, , ,Declined to answer,Yes respondent or someone else has cell phone in household, ,Rural, ,18-64,50-64,45-54,MALE,Good,Excellent/Very Good/Good,Employed,Some college,Some college,Less than college,"White, non-Hispanic","White, non-Hispanic",Don't know/Refused,Yes to any,Yes to any,Dual HH,Washington,Urban- Center City County (Metro),West,3,Pacific,3,Suburban,EN,20180418,0.7055,1.4982
Somewhat happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,Yes,Several times a week,No, ,No, ,"Rarely, or",Sometimes,"Rarely, or","Rarely, or",Not Lonely,5,Somewhat satisfied,Very satisfied,Very satisfied,A few times a year,A few times a week,A few times a week,A few times a week,A few times a week,A few times a week,Only a little,More of a public health problem,No role at all,Major role,Major role,Major role,Mostly have themselves to blame,Minor reason,Major reason,Minor reason,Minor reason,Not a reason,No,No, , , , , , , ,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,60, ,Male,WASHINGTON,"Single, that is never married",2,0, ,No, ,No,No,Yes,No,No,Yes,Yes,No,Good,Excellent,Yes,No,Retired,Democrat,"Some college, no degree (includes some community college)",Once or twice a month,No,White, , ,"$40,000 to less than $50,000",Yes respondent or someone else has cell phone in household, ,Urban, ,18-64,50-64,55-64,MALE,Good,Excellent/Very Good/Good,Retired,Some college,Some college,Less than college,"White, non-Hispanic","White, non-Hispanic",$40K-$89.9K,Yes to any,Yes to any,Dual HH,Washington,Rural- Non-Metro,West,Lowest,Pacific,4,Suburban,EN,20180418,0.7055,0.6902
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,Sometimes,Always,Sometimes,Sometimes,Lonely,1,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Every day,A few times a week,Never (Vol.),Every day,Never (Vol.),Never (Vol.),Nothing at all,More of a public health problem,Minor role,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Not a reason,Major reason,Major reason,Major reason,Not a reason,No,No, , , , , , , ,"Yes, would recommend",Hasn't made a difference,Minor problem,No specific cause for feelings of loneliness,Loneliness comes and goes,Not sure,Somewhat positive,Not applicable/Not employed/Retired/Disabled (Vol.),Somewhat negative,No impact,Almost always,Never,Never,Never,Sometimes,Never,Almost always,Never,Never,Sometimes,No, , , , , , ,Not a reason,Not a reason,Not sure,Not a reason,Not a reason,Not a reason,No,No,74, ,Female,CALIFORNIA,Divorced,1,0, ,Yes,No,No,Yes,No,No,No,Yes,No,No,Only fair,Only fair,No,No,Retired,Independent,High school incomplete (Grades 9-11 or Grade 12 with no diploma),A few times a year,Yes,Other or mixed race (SPECIFY),chicana,U.S.,"Less than $20,000",No, ,Urban, ,65+,65-79,65-79,FEMALE,Only fair/Poor,Only fair/Poor,Retired,Less than high school,High school or less,Less than college,Hispanic,"Hispanic, born in US",Less than $40K,No to all,Yes to any,LLO HH,California,Urban- Center City (Metro),West,3,Pacific,2,Urban,EN,20180418,0.7387,1.3356
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,No, ,Sometimes,Often,Never,Sometimes,Lonely,6,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,Every day,A few times a week,A few times a year,Every day,A few times a week,Some,More of a public health problem,Minor role,Major role,Major role,Major role,Both equally/It depends (Vol.),Minor reason,Major reason,Minor reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"Yes, would recommend",Easier,Isn't really a problem,Death/loss of a spouse/significant other,Loneliness comes and goes,Declined to answer,No impact,No impact,No impact,No impact,Sometimes,Almost always,Never,Almost always,Sometimes,Sometimes,Sometimes,Never,Never,Never,Yes,Yes,Yes,Yes,No,Yes,Very helpful, , , , , , ,No,No,68, ,Female, ,"Widowed, or",1,0, ,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Very good,Very good,No,No,Retired,Democrat,"Some college, no degree (includes some community college)",Once or twice a month,No,White, , ,"$20,000 to less than $30,000",Yes respondent or someone else has cell phone in household, ,Rural, ,65+,65-79,65-79,FEMALE,Excellent/Very Good,Excellent/Very Good/Good,Retired,Some college,Some college,Less than college,"White, non-Hispanic","White, non-Hispanic",Less than $40K,No to all,Yes to any,Dual HH,Georgia,Rural- Non-Metro,South,Lowest,South Atlantic,4,Suburban,EN,20180419,0.4775,0.3121
