Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount
Somewhat happy,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,A lot
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot
Somewhat happy,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount
Very happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,No one
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot
Somewhat happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Just a few
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not sure
Not too happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A lot
Very happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Just a few
Somewhat happy,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Just a few
Somewhat happy,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,A fair amount
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Declined to answer
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Just a few
Somewhat happy,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Just a few
Somewhat happy,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat dissatisfied,Just a few
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot
