happiness,familylife,finances,employment,housing,support,healthwellness,hwfrequency,socialgroup,socialgroupfrequency,serviceorganization,sorganizationfrequency,lonelinessfrequency,companionship,leftout,isolated,lonely,discuss,neighbors,family,friends,familyinperson,familyoverphone,familyoversocialmedia,friendsinperson,friendsoverphone,friendsoversocialmedia,problem,publicorindividual,government,individuals,nonprofits,churches,factors,movingaway,governmentcuts,technology,agingparents,unemployment,internet,socialmedia,socialmediafrequency,socialmediahours,lookingorengaging,connections,lonelinessandsocialmedia,onlinevsphone,onlinevsinperson,recommendinternet,spendtime,bigproblem,cause,continuous,lengthlonely,impactpersonalrelationships,impactjob,impactphysicalhealth,impactmentalhealth,talkfriend,visitpublic,counselor,exercise,drugs,cigarettes,overeat,past,browse,distract,talk,doctor,closefriend,familymember,mentalhealthprofessional,advisor,helpful,whototalkto,problemnotbad,havetime,energy,handleonyourown,afford,violentact,harmingyourself
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,No, ,Yes,About once a week,No, ,"Rarely, or",Never,"Rarely, or","Rarely, or",Not Lonely,6,Somewhat satisfied,Very satisfied,Very satisfied,A few times a year,A few times a month,A few times a month,A few times a month,A few times a year,A few times a week,Some,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Minor reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,A lot,No, ,Yes,Once or twice a month,Yes,Once or twice a month,Never,Never,Never,Never,Not Lonely,10,Very satisfied,Very satisfied,Very satisfied,A few times a month,A few times a week,Never (Vol.),A few times a week,A few times a week,Never (Vol.),A lot,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Major reason,Major reason,No,No, , , , , , , ,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,No, ,No, ,No, ,Never,Never,Never,Sometimes,Not Lonely,8,Somewhat satisfied,Very satisfied,Somewhat dissatisfied,Every day,Never (Vol.),Every day,A few times a month,Never (Vol.),Every day,A lot,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Minor reason,Major reason,Major reason,Yes,Yes,Every day,Less than half an hour,Looking at what other people are doing,Weakened,Not sure,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,About once a week,Yes,Once or twice a month,Never,Never,Never,Never,Not Lonely,10,Very satisfied,Very satisfied,Very satisfied,Every day,A few times a week,Every day,A few times a week,A few times a week,A few times a week,Only a little,More of a public health problem,No role at all,Major role,Major role,Major role,Both equally/It depends (Vol.),Not a reason,Not a reason,Minor reason,Minor reason,Minor reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,Yes,Once or twice a month,Never,Never,Never,Never,Not Lonely,5,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A few times a year,A few times a week,A few times a week,A few times a month,A few times a month,A few times a month,Some,More of an individual problem,No role at all,Minor role,Minor role,Minor role,Mostly have themselves to blame,Minor reason,Minor reason,Minor reason,Major reason,Minor reason,Yes,No, , , , , ,More satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,No one,No, ,Yes,Several times a week,Yes,Once or twice a month,Never,Never,"Rarely, or",Never,Not Lonely,4,Somewhat satisfied,Somewhat satisfied,Very satisfied,Every day,A few times a week,A few times a week,A few times a month,A few times a week,A few times a week,Some,Not sure,No role at all,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,A few times a week,Less than half an hour,An equal mix of both,Not sure,Worse,Equally satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,About once a week,Yes,About once a week,"Rarely, or",Never,Never,Never,Not Lonely,5,Very satisfied,Very satisfied,Very satisfied,Every day,A few times a week,A few times a week,Every day,Every day,Every day,Only a little,More of an individual problem,No role at all,Major role,Major role,No role at all,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Minor reason,Major reason,Major reason,Yes,No, , , , , ,Equally satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,Yes,Several times a week,No, ,No, ,"Rarely, or",Sometimes,"Rarely, or","Rarely, or",Not Lonely,5,Somewhat satisfied,Very satisfied,Very satisfied,A few times a year,A few times a week,A few times a week,A few times a week,A few times a week,A few times a week,Only a little,More of a public health problem,No role at all,Major role,Major role,Major role,Mostly have themselves to blame,Minor reason,Major reason,Minor reason,Minor reason,Not a reason,No,No, , , , , , , ,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,Sometimes,Always,Sometimes,Sometimes,Lonely,1,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Every day,A few times a week,Never (Vol.),Every day,Never (Vol.),Never (Vol.),Nothing at all,More of a public health problem,Minor role,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Not a reason,Major reason,Major reason,Major reason,Not a reason,No,No, , , , , , , ,"Yes, would recommend",Hasn't made a difference,Minor problem,No specific cause for feelings of loneliness,Loneliness comes and goes,Not sure,Somewhat positive,Not applicable/Not employed/Retired/Disabled (Vol.),Somewhat negative,No impact,Almost always,Never,Never,Never,Sometimes,Never,Almost always,Never,Never,Sometimes,No, , , , , , ,Not a reason,Not a reason,Not sure,Not a reason,Not a reason,Not a reason,No,No
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,No, ,Sometimes,Often,Never,Sometimes,Lonely,6,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,Every day,A few times a week,A few times a year,Every day,A few times a week,Some,More of a public health problem,Minor role,Major role,Major role,Major role,Both equally/It depends (Vol.),Minor reason,Major reason,Minor reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"Yes, would recommend",Easier,Isn't really a problem,Death/loss of a spouse/significant other,Loneliness comes and goes,Declined to answer,No impact,No impact,No impact,No impact,Sometimes,Almost always,Never,Almost always,Sometimes,Sometimes,Sometimes,Never,Never,Never,Yes,Yes,Yes,Yes,No,Yes,Very helpful, , , , , , ,No,No
